dataset_key,dataset_id,modality,suspension_type,author_cell_type,assay,gene,cell_threshold,comparison,psc_assays_observed,control_assays_observed,shared_assay,min_donors_required,psc_median_log2_cpm1,control_median_log2_cpm1,psc_minus_control_median_difference,psc_median_detection_fraction,control_median_detection_fraction,psc_observed_detection_fraction,control_observed_detection_fraction,psc_eligible_donors,control_eligible_donors,leave_one_donor_out_min_difference,leave_one_donor_out_max_difference,leave_one_donor_out_evaluable_count,biological_interpretation,status,reason
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,LAM-like,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,LAM-like,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,LAM-like,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,LAM-like,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,LAM-like,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,LAM-like,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MAST,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MHCII,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--B-Doublet,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Mac--Fibro-Doublet,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--CD4T-Doublet,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,MatB--RBC,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,ETS2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,PFKFB3,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,PRKD2,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,UBASH3A,20,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,BCL2L11,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,ETS2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,PFKFB3,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,PRKD2,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,Monocyte,__NO_SHARED_ASSAY__,UBASH3A,50,PSC_minus_Control,10x 5' v2,10x 5' v1,False,3,,,,,,,,0,0,,,0,unavailable_due_to_assay_chemistry_confounding,blocked_cross_chemistry,PSC and Control have no exact shared assay; cross-chemistry fallback is prohibited
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,NKT,__NO_SHARED_ASSAY__,BCL2L11,20,PSC_minus_Control,10x 5' v2,,False,3,,,,,,,,0,0,,,0,unavailable,missing_cohort,PSC or Control assay stratum is absent
